"","Artists","Name","Weeks.on.chart","Peak.position","Week","Weekly.rank","Date","Genre","Writing.Credits","Lyrics","Songwriter","ID"
"1","2 Chainz","Watch Out",11,64,"2016-03-26",91,"August 13, 2015","Atlanta, Rap","Saucelordrich, Fki 1st, 2 chainz","Watch Out 
Yo, okay
All my niggas with me
All my niggas with it
All my niggas ballin'
All my niggas athletic
All my niggas A1
All got street cred
All my niggas ballin'
All my niggas athletic
Pulled up in a Phantom
Pulled off with a dancer
Got a pocket full of money
Kinda hard to keep my pants up
Nigga tryna run them bands up
Fuck a bitch with my hands up
Lil Quay fucked the Xans up
Kinda hard to understand us
Duffle bags in the Escalade
Call the bitch there a bread truck
Got the bitch going retarded
Call Uber for a spare truck
All these niggas never scared us
All these niggas never ran up
Bitch tryna put the head on me
Niggas tryna put the feds on me
Niggas tryna take meds on me
Everything for the players only
Niggas sunny like Arizona
Gunshots just for sayin' something
Spraying shit like aerosol
You a foul and that's a fair ball
Nigga can't reach the goals
Keep shootin' a damn air ball
Watch out, lil bitch
Watch out, lil bitch
Watch out, lil bitch
Uh, watch out, lil bitch
You getting mad
I'm getting rich
You getting mad
And I'm getting rich
Watch out, lil bitch
Watch out, lil bitch
Watch out, lil bitch
Stiff arm
Hey, watch out, lil bitch
You getting mad
I'm getting rich
You getting mad
Bitch, I'm getting rich
Watch out, lil ho
My partners still smoke on parole
They say that I'm crazy
I used to talk to a stove
I tell it to lock, shit I tell it a lot
Go to the dealership, fishtail off the lot
You know I'm comin' straight out the block
You know I'm comin' straight out the top
Shawty said she want 5 million
'Cause I told her to leave and call her a thot
Shit, you can like it or not, damn
I'm comin' straight out the pot, yam
Still got some ACT in my stock, man
Nigga I ain't gotta lie
Nigga I ain't gotta try
You wavin' that thing in the sky
We wavin' that thing at your body
We wavin' that thing at your eye
Look at the watch on my wrist
Got 'em all watchin' my wrist
Told that lil bitch I'll pass
Nigga watch the assist swish
I run the trap like the marathon
You niggas softer than silicone
You know what it's like when the feelin' gone
I know what it's like when the ceilin' gone
I had a sit down with Farrakhan
Turn the White House to the Terror Dome
I used to serve at the Chevron
I used to serve with my necklace on, bitch
Watch out, lil bitch
Watch out, lil bitch
Watch out, lil bitch
Uh, watch out, lil bitch
You getting mad
I'm getting rich
You getting mad
And I'm getting rich
Watch out, lil bitch
Watch out, lil bitch
Watch out, lil bitch
Stiff arm
Hey, watch out, lil bitch
You getting mad
I'm getting rich
You getting mad
Bitch, I'm getting rich
","False",1
"2","2 Chainz, Gucci Mane, Quavo","Good Drank",16,70,"2017-07-15",97,"October 18, 2016","Quality Control Music, Def Jam, Trap, Atlanta, Rap","Gucci mane, Quavo, 2 chainz","Good Drank 
Uhh, alright
I did it, hahah, yeah
Used to treat my mattress like the ATM, yeah
Bond No. 9 that's my favorite scent, yeah
Can't forget the kush, I'm talking OG, yeah
Rest in peace to pop, he was an OG, oh yeah
285 I had that pack on me, uh
I cannot forget I had that strap on me, yeah
Rest in peace to my nigga Dawg Troup
All we ever want to do is ball
That was the easy part, we playing that Weezy hard
We sit in the kitchen late, we tryna to make an escape
Trying to make me a mil', so I'ma keep me a plate
I told 'em shawty can leave, so I'ma keep me a rake
So I'ma keep me a Wraith, my jewelry look like a lake
Today I'm in the Maybach
And that car came with some drapes
You know I look like a safe, I put you back in your place
I look you right in your face, sing to your bitch like I'm Drake
Yeah
Good drank, big knots
Good drugs, I put a four on the rocks lean!
Drop top, no hot box
12 tried to pull me over, pink slips to the cops
She said the molly give her thizz face
Put the dick in her rib cage
Whips out, Kunta Kinte
Diamonds clear like Bombay
Take your babies, no Harambe
Play with keys like Doc Dre
3K like Andre
And your girl, call her, come through
It's Gucci! Huh brr! huh!
Your trunk in the front
Well check this out my top in the trunk
You play with my money
Then check this out you<U+0092>re poppin' the trunk
Three mil in a month
But I just did three years on a bunk
Oh, you in a slump
I'm headed to Oakland like
Kevin Da Runt
What is your point?
Square with the stamp, for Kevin Durant
Lay on on my trap
Play with my cap and I'll knock off your hat
I'm taking the cheese and killing the rats
Gucci Mane, call me the cat with the racks
I'm swervin', but I'm in back of the 'Bach
I'm Persian, man I got hoes from Iraq
I'm servin' I pay a bird for that
He nervous, ain<U+0092>t got no words for that
He hurt and want all of his purses back
He mixing the syrup with the Percocets
She perfect and she got perky breasts
I just want some of that turkey neck
Trapper of the year, I'm from Bouldercrest
You snitch of the year cause you told the bis'
Good drank, big knots
Good drugs, I put a four on the rocks
Drop top, no hot box
12 tried to pull me over, pink slips to the cops
She said the molly give her thizz face
Put the dick in her rib cage
Whips out Kunta Kinte
Diamonds clear like Bombay
Take your babies, no Harambe
Play with keys like Doc Dre
3K like Andre
And your girl, call her, come through
Ayy, Mike Dean
This shit hard as fuck, bruh
You a living legend, I appreciate that
Ayy, Guwop, I'm glad you home, cuz
Quavo, you already know man
You got next on these niggas double salute man
True shit, 2 Chainz!
Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
","False",2
"3","2 Chainz, Lil Wayne","Gotta Lotta",1,NA,"2016-03-26",100,"March 3, 2016","New Orleans, Atlanta, Rap","Lil wayne, 2 chainz, Antonio nunzio catania, John larkin","Gotta Lotta 
Lotta dope
Gotta lotta dope
Ba-ba-da-bope
Ba-da-ba-da-beee
Ba-ba-da-bope
Yeah
Ba-ba-da-bope
I said we gotta lotta dope, we gotta lotta coke
We got weed, that<U+0092>s a lotta smoke
Yeah, that<U+0092>s that loud I hope
We gotta lotta dope, we gotta lotta dope
Ba-ba-da-bope
I said we gotta lotta dope, yea we gotta lotta coke
We got weed, there<U+0092>s a lotta smoke
Yea, that<U+0092>s that loud I hope
I said we gotta lotta dope
Ba-ba-da-bope
Okay we gotta lotta dope
We got the hotter hoes
I said we done shot a lot of folk
We be in and out of court
And I done seen so many cowards croak
It<U+0092>s like watching flowers grow
I mean please, don't you cowards know?
We will leave your bloody body on your mama<U+0092>s porch
Lord, born in the projects
Papa was a rolling stone, selling rock crack
Yeah, I grew up in my day
Making juugs on a phone with no contacts
I'm drinking Actavis only no Hi-Tech
Hold on, think I'm getting too high tech
Yeah, I think she getting a contact
Now she needs some dope dick, and she know who to contact
Ba-da-ba-da-beee
Ba-ba-da-bope
Yeah
Ba-ba-da-bope
I said we gotta lotta dope, we gotta lotta coke
We got weed, that<U+0092>s a lotta smoke
Yeah, that<U+0092>s that loud I hope
We gotta lotta dope, we gotta lotta dope
Ba-ba-da-bope
Yo Tunes, pass the steel, or bash the steel
My passion real, I'm fashion ill
The pussy niggas are Massengil, mass appeal
My past is real before I had the deal, you dig?
Pies and cakes, out of state
Lies is fake, God don<U+0092>t make mistakes
Got the girl pussy smelling like Codeine Syrup
Got the bands on me like a football field, I'm ill
I deserve a threesome for my birthday
If she pretty it's Magic City on the first date
Cup of lean and toast, yeah I<U+0092>m <U+0091>posed to boast
Goodie Mo the quote, not many coming close
Trying to smoke what I never smoked before
Dream what I never dreamed before
Woke up and see my Rolls sky high
I ride by, I drive by then hop out
Ba-da-ba-da-beee
Ba-ba-da-bope
Yeah
Ba-ba-da-bope
I said we gotta lotta dope, we gotta lotta coke
We got weed, that<U+0092>s a lot of smoke
Yeah, that<U+0092>s that loud I hope
I said we gotta lotta dope, we gotta lotta dope
Ba-ba-da-bope
Ba-da-ba-da-beee
Ba-ba-da-bope
Got a lot, got a lot
Yeah
Ba-ba-da-bope
I said we gotta lotta dope
Got a lot, got a lot She snort a lotta coke
We got weed, that<U+0092>s a lotta smoke
Yeah, that<U+0092>s that loud I hope
We gotta lotta dope, we gotta lotta dope
Ba-ba-da-bope
","False",3
"4","2 Chainz, Travis Scott","4 AM",12,55,"2017-09-09",95,"May 30, 2017","Houston, Atlanta, Epic Records, G.O.O.D. Music, Grand Hustle, Def Jam, Trap, Rap","Murda beatz, Cubeatz, Travis scott, 2 chainz","4 AM 
Yeah, yeah, yeah
M-M-M-Murda
Yeah, yeah
Damn right, bro
4 AM, I'm just gettin' started
For my birthday I threw me a surprise party
Reminiscin' 'bout the trap, playin' the first Carter
My life changed when I had my first daughter
Got my first quarter flippin' fifty-dollar slabs
Your nigga's lookin' at the bills, askin' you for half
Cut from a different cloth, take pride in results
Anytime she wanna dip I'm providin' the sauce
You on side of the boss, so you kind of the boss
You keep playin' with me, I end up signing your boss
Drop an EP on a nigga for the free-free on a nigga
Yeah you ZZ on a nigga, king like BB on you niggas
Rock with Champagne P
If it wasn't for the struggle then I wouldn't be me
Call me Deuce or Dos, anything but broke
Got my aim from the scope, got the game by the throat, damn!
Okay, you popped up on me by surprise yeah, yeah
You see I never took you for the poppin' type straight up
Damn, it's 4 AM so please believe the hype it's lit
Hit the lights yeah, I'm way over top
Pop it, flick it
Drop a pin, send a location skrrt, skrrt
I'ma pull up in that bullet-coupe spaceship skrrt, skrrt
Drop off a bag of some dangerous yeah
I'ma hit you, 4 AM, see if you make it yeah
I dropped ColleGrove out the sky, ooh
In a group with the best rapper that's alive, ooh
Never turn my back on my slime, ooh
I ain't wanna fuck the bitch but she was fine, ooh
Hold up baby, let me take my time, ooh
Hard to get some head and try to drive, ooh
Jumpin' out the cake and that's surprisin', ooh
Pickin' up the duffel bag like exercisin', ooh
Bought mama new house 'cause she deserve it, ooh
Practice makes perfect but nobody's perfect, ooh
Escobar is not open for service, ooh
Send you to Dr. Miami for your surgery, ooh
Okay, you popped up on me by surprise yeah, yeah
You see I never took you for the poppin' type straight up
Damn, it's 4 AM so please believe the hype it's lit
Hit the lights yeah, I'm way over top
Pop it, flick it
Drop a pin, send a location skrrt, skrrt
I'ma pull up in that bulet-coupe spaceship skrrt, skrrt
Drop off a bag of some dangerous yeah
I'ma hit you, 4 AM, see if you make it yeah
Ooh, Riccardo Tisci on the crewneck
Ooh, On a killin' rapper spree and nigga, you next
Ooh, they talkin', chillin', watchin' Netflix straight up
Ooh, I used to trap and watch bootlegs
Ooh, I'm on my wave like a durag
Ooh, I see your boo, now where your crew at?
Ooh, talkin' tequila for the pipe-up
Ooh, I hope you got a clean vagina, yeah
Drench god, drench god, really
Representin', we the squad, really oh, yeah
Tec got the Rollie, now I get it
I used to sell drugs for a living
Got me a job sellin' records
Had to use my jeweler for a reference
Might buy a charm with the extras
Might use her legs for a necklace
Okay, you popped up on me by surprise yeah, yeah
You see I never took you for the poppin' type straight up
Damn, it's 4 AM so please believe the hype it's lit
Hit the lights yeah, I'm way over top
Pop it, flick it
Drop a pin, send location skrrt, skrrt
I'ma pull up in that bullet-coupe spaceship skrrt, skrrt
Drop off a bag of some dangerous yeah
I'ma hit you, 4 AM, see if you make it yeah
Don't stop trappin', boy
Got 'bout twelve racks this mornin'
Got 'bout twelve racks
Started last night, still goin'
Twelve racks strong
Got the pitbull in the corner, she pregnant
Got the crackhead in the corner, she pregnant
Everybody in here pregnant, 'cept my partner and them
But we gettin' this money though, I'm tellin' you that
","False",4
"5","2 Chainz, Ty Dolla $ign, Trey Songz, Jhene Aiko","It's A Vibe",20,44,"2017-11-11",79,"March 9, 2017","Atlanta, Trap, ARTium, Taylor Gang, Def Jam, R&B, Rap","Murda beatz, G koop, Jhene aiko, Ty dolla sign, Trey songz, 2 chainz","It's a Vibe 
Yeah, hahaha
Yeah, ooh
M-M-M-Murda
Yah
That's a vibe that's a vibe
She wanna vibe, yeah wanna vibe
That's a vibe that's a vibe
Yeah, uh that's a vibe
That's a vibe that's a vibe
It's a vibe it's a vibe
That's a vibe, yeah that's a vibe
Yeah, yeah that's a vibe
Oh that's a vibe that's a vibe
Oh it's a vibe it's a vibe
That's a vibe that's a vibe, that's a vibe, yeah, yeah
That's a vibe that's a vibe
She wanna vibe, yeah wanna vibe
That's a vibe, yeah
Yeah, yeah
Yeah, that's a vibe
She wanna vibe
That's a vibe
This shit vibe, yeah, yeah
Late night
Oh it's a vibe
Let me slide
Oh it's a vibe, yeah, yeah
Dim the lights
Oh it's a vibe, yeah
Get high
It's a vibe, oh it's a vibe, yeah
It's a vibe
Don't you like?
Your pussy drippin'
Gushin', drippin' down your thighs
It's a vibe
Get high
Diggin' deep while I'm lookin' in your eyes
Vibe is the realest
I know you feel it yah
It's a vibe vibe
Different vibe
This my vibe, nigga
All the bitches like it
Okay, so I got the ambiance just where I want it yeah
And if you get paid, it's solely based on your performance TRU
My ego is enormous like my crib in California hmm
If you ain't got no heart, man you gonna need a donor
Now I said I'm from the corner of the ATL yah
Where we got that clientele, avoid paper trails right
Broke so many bales down that I'm shell shocked bow
I held Glocks, sold rocks by the mailbox ooh
Got a vibe, make a yellow chick turn her neck alright
Got a vibe, make a cougar wanna spend a check check
Got a vibe, make an Asian want hibachi hibachi
Got a vibe, make Italian want Versace Versace
Carbon copies get declined, I'm the pioneer
Beat that pussy up, I need riot gear
Any volunteers?
Gas in a Ziploc, now that's loud and clear
This one outta here, this is our year
That's a vibe
That's a vibe
That's a vibe
Oh that's a vibe, yeah, yeah
That's a vibe
It's a vibe
It's a vibe
That's a vibe, yeah, yeah
It's a vibe
Am I your type?
Pussy tight
Maybe I'll spend the night, yeah, yeah
That's a vibe
Bust it, bust it wide
This the type of shit I like, yeah, yeah
That's a vibe
It's a vibe
That's a vibe
Oh it's a vibe, yeah, yeah
It's a vibe, yeah, yeah, yeah
","False",5
"6","2 Chainz, YG, Offset","Proud",2,96,"2018-04-21",99,"February 8, 2018","Universal, Capitol Records, Motown, Def Jam, Compton, Atlanta, Quality Control Music, Trap, Rap","Justin garner, Boi 1da, J valle, Future, T minus, Offset, Yg, 2 chainz","PROUD 
Yeah, do it for the hood, nigga, rep
Yeah, Soufside with an F 'cause I'm fresh
Do it for the hood, nigga, rep
Soufside with an F 'cause I'm fresh
Tryna make my momma proud, uh
I ain't tryna let my momma down yah
I'm just tryna make my momma proud, uh
I ain't fuckin' 'round with you uh, uh, uh
T.R.U. University, I pull it up and murk a beat
Momma house was filled up with bags of Hercules strong
Soon as I finished pissin', I put the seat down
Or my momma'd be cussin' my damn ass out
Only child, no siblings, no besties
I couldn't do nothin' right like a lefty woo
Bought my momma's first house with the juug money alright
Bought my momma's second house with the club money show
Me and momma used to trap out the same house same house
Used to eat and go to sleep on the same couch same couch
Me and momma got busted at the same time same time
Went to court and told judge the damn same lies same lies
I can tell momma proud of her only son
2 Chainz, I have always worn more than one
Yeah I'm real, I'm ill, you know, you gotta feel
You poppin' pills, I'm rarer than two dollar bills
Yeah, I'm just tryna make my momma proud make my momma proud, yeah
I ain't tryna let my momma down down, down, down
Yeah, I'm just tryna make my momma proud, yeah proud, yeah
I ain't tryna let my momma down down, down, down
Yeah, momma ain't raise no ho, one more time
Yeah, my momma ain't raise no ho
Yeah, yeah, yeah, momma ain't raise no ho
Yeah, yeah, momma ain't raise no ho
4Hunnid! My momma ain't raise no ho no ho
'Cause my momma ain't no ho no ho
My momma ain't raise no ho no ho
Drop a pin and in ten we at your door, nigga
Ho bitches gettin' fucked on the floor
They cold-hearted so you gotta do 'em cold
These hoes and my momma can't get along why?
'Cause my momma ain't no ho
I was runnin' up a check with the homies on the disk
I was fuckin' up the pork, I ain't ever do the feds
Got some YGs from the gang, they'll do you for a check
And you know I'm gang gang 'cause that's the only thing I rep
Ayy, momma
When I leave the house it's for them dollars
You are the reason I bought that choppa
'Cause I know you wanna see me come home proper
Soon as I get right I said I gotcha then I gotcha
4Hunnid!
Yeah, I'm just tryna make my momma proud make my momma proud, yeah
I ain't tryna let my momma down down, down, down
Yeah, I'm just tryna make my momma proud, yeah proud, yeah
I ain't tryna let my momma down down, down, down
Yeah, momma ain't raise no ho, one more time
Yeah, my momma ain't raise no ho
Yeah, yeah, yeah, momma ain't raise no ho
Yeah, yeah, momma ain't raise no ho
Momma taught me how to get that bankroll momma
Yeah, vault up in my loft in case the bank closed vault, yeah
Momma ain't have it all, we wore the same clothes have it all
I kicked the door, I kicked the door, I risked it all for dough kicked the door
I found that .44, it turned me to an animal 4, 4
Got that wide load, niggas wasn't even compatible wide load
Choppa firin', it soundin' just like a rattler
.223 caliber, you ain't in my caliber oh, oh
Momma told me pray 'cause they'll keep givin' me these bucks bucks
Sit on that G6, I'm flyin' high, Aladdin on the rug momma
I put Goyard on my momma Goyard
Every nigga, not partner, son, when you come up come up
All them bitches in your face, son, they are piranhas
Stay up out the way, but beat him if he run up run up
Mike Jack in his prime with Madonna
I'm just tryna bring her to my momma momma
Yeah, I'm just tryna make my momma proud make my momma proud, yeah
I ain't tryna let my momma down down, down, down
Yeah, I'm just tryna make my momma proud, yeah proud, yeah
I ain't tryna let my momma down down, down, down
Yeah, momma ain't raise no ho, one more time
Yeah, my momma ain't raise no ho
Yeah, yeah, yeah, momma ain't raise no ho
Yeah, yeah, momma ain't raise no ho
Do it for the hood, nigga, rep
Southside with an F 'cause I'm fresh
Do it for the hood, nigga, rep
Southside with an F 'cause I'm fresh
","False",6
"7","21 Savage","Bank Account",29,12,"2018-02-03",47,"July 7, 2017","Memes, Epic Records, Trap, Rap","Metro boomin, 21 savage","Bank Account 
I buy a new car for the bitch for real
I tear down the mall with the bitch for real
You can't even talk to the bitch no
She fucking with bosses and shit on God
I pull up in 'Rari's and shit skrrr
With choppers and Harley's and shit for real
I be Gucci'd down Gucci
You wearing Lacoste and shit bitch
Yeah, Moncler, yuh, fur came off a bear, yuh yeah
Triple homicide, put me in a chair, yuh in jail
Triple cross the plug, we do not play fair, yuh on God
Got 'em tennis chains on and they real blingy bling
Draco make you do the chicken head like Chingy Chingy
Walk in Neiman Marcus and I spend a light fifty fifty
Please proceed with caution, shooters, they be right with me 21
Bad bitch, cute face and some nice titties
\$7500 on a Saint Laurent jacket yeah
Bitch, be careful when you dumpin' your ashes bitch
I ain't no sucker, I ain't cuffin' no action nah
The skreets raised me, I'm a whole bastard wild
I bought a 'Rari just so I can go faster skrrr
Niggas tryna copy me, they playin' catch up 21
I might pull up in a Ghost, no Casper 21
I been smoking gas and I got no asthma
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah fast
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Yeah, dog, huh<U+0097>yeah<U+0097>, nah for real, dog 21
Straight up out the 6, now got a house in the Hills, dog 21
Wanna see a body, nigga? Get you killed, dog wet
Wanna tweet about me, nigga? Get you killed, dog wet
Killed dog, I'm a real dog<U+0097>21<U+0097>, you a lil' dog 21
Be a dog, wanna be a dog, chasing mil's, dog yeah
Dunk right in your bitch like O'Neal, dog wet
I shoot like, shoot like Reggie Mill', dog 21
Chopper sting you like a eel, dog fast
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah fast
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ruler clip<U+0097>umm<U+0097>, sent a ruler hit
Pull up on yo' bitch, she say that I got a ruler dick
Spray your block down, we not really with that ruh-rah shit
Glock cocked now, I don't really give no fuck 'bout who I hit
Yeah, yo' bitch, she get jiggy with me, keep that Siggy with me
Bitch, I'm Mad Max, you know I got Ziggy with me
Keep a mad mag in case a nigga wanna get busy with me
'Rari matte black and I got a Bentley with me
I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
In my bank account, yeah on God
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah fast
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
Ready to gun you down, yeah on God
\$7500 on a Saint Laurent jacket
Bitch, be careful where you dumpin' your ashes
I ain't no sucker, I ain't cuffin' no action
The streets raised me, I'm a whole bastard
","True",7
"8","21 Savage","Famous",1,NA,"2017-07-29",94,"July 7, 2017","Epic Records, Trap, Rap","Metro boomin, 21 savage","Famous 
Rags to riches, nigga came from the bottom
Hood rats, now a nigga fuckin' on models
Ridin' in the foreign, remember ridin' on MARTA
Grind got harder and my mind got smarter
I was gettin' bags for the cheap
When I ain't had money, I was robbin', nigga
I was gettin' bags for the free
21 Gang, they were right beside me
And they still with me, nigga, I'm on TV
Couple niggas switched up, bitched up, fuck 'em
I can't go nowhere without a pistol or a rubber
I'm too, too player to put a bitch before my brother
I'm too street smart, nigga, to serve a undercover
Niggas tryna clone a nigga's shit, damn, woah
Used to drive a hotbox, shit, Lambo
Niggas want a handout, shit, mine broke
I grinded for this shit, I grinded for this shit
Can't change on my gang, niggas still here
Kinda hard to change my ways 'cause the shit real
Niggas rappin' 'bout shit they ain't even lived
Niggas lyin', I can hear it in their ad-libs
I'm poppin' Percocets, bitch, not Advil
It's kinda fucked up what they did to Black, damn
If I catch him in the trap, I'ma whack him
I catch that boy in traffic, nigga, I'ma whack him
Nigga, try to keep up with this fashion
Makin' sure my kids happy
They dependent on their daddy
Tryin' not to let the streets distract me
I know it's bumps in the road like acne
Had to sell dope, I couldn't be an athlete
I'm a solid young nigga, you can ask C
The internet ain't gon' help you understand me
I'm a street nigga, yeah I'm famous
I'm a rapper, nigga, and I'm gangbangin'
Everybody kill a nigga, what you claimin'?
Everybody get it with your nigga flamin'
All these chains on a nigga like I'm stranglin'
Ran off with your money, nigga, guess we straight then
You knockoff gangbangers ain't bangin'
In the hood everyday, I'm hangin'
And I come through when the gang need
And I wear shades so they can't see
And I pay them lawyers and the bond fees
Nigga one thousand, I'm beyond G
I put my main bitch inside Givenchy
Niggas still askin', ""Can you front me?""
My old ho sayin', ""Boy you growed up""
Promethazine, it got a nigga slowed up
Too solid, pussy niggas can't disclose us
Went and seen Eliantte, and he froze us
I'm too street to walk around with my nose up
Especially to the niggas knew me 'fore I blowed up
Savage Mode drop, now my price'll go up
Streets cold, nigga, they ain't showin' no love
Niggas get in front of judge and they fold up
Face shot, hit that boy with the whole dub
I'm a street nigga, yeah I'm famous
I'm a rapper, nigga, and I'm gangbangin'
Everybody kill a nigga, what you claimin'?
Everybody get it with your nigga flamin'
All these chains on a nigga like I'm stranglin'
Ran off with your money, nigga, guess we straight then
You knockoff gangbangers ain't bangin'
In the hood everyday, I'm hangin'
Couple niggas switched up, bitched up, fuck 'em
I can't go nowhere without a pistol or a rubber
I'm too, too player to put a bitch before my brother
I'm too street smart, nigga, to serve a undercover
","True",8
"9","21 Savage","Red Opps",5,74,"2017-02-04",78,"July 2, 2015","Trap, Atlanta, Rap","21 savage","Red Opps 
Yeah, Yeah, Yeah
I pull up roll the window down and
pop pop pop pop pop
I pull up roll the window down and
pop pop pop pop pop
I pull up roll the window down and
pew pew pew
I just bought a pistol it got 30 rounds in it
Pull up at yo momma house and put some rounds in it
Wet a nigga block and watch them niggas drown in it
Hunnid round drum gun a nigga down with it
I'm on that Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
I'm on that Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
I'm on that Slaughter Gang shit
Take a nigga bitch
Nigga yous a bitch cuz I ran off with ya shit
I'm a real right Blood and these niggas counterfeit
You don't pull up on the Ave pussy boy you get dipped
I bought a brand new drop and then I poured me up some drop
Y'all say real street nigga ya'll ain't on no block
Bitch keep your legs closed cause all I want is top
I pull up and pew pew pew y'all gone call the cops
21
I just bought a pistol it got 30 rounds in it
Pull up at yo momma house and put some rounds in it
Wet a nigga block and watch them niggas drown in it
Hunnid round drum gun a nigga down with it
I'm on that Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
I'm on that Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
Two guns up
I don't give a fuck
I'm a big dog lil' nigga you a pup
Pull up at yo spot walk up on it shoot it up
Yo bitch she on the molly yeah I got her booted up
You said you was trappin' but I heard thats a lie
Baking soda, cold water, cut the stove on, scrape the side
You can keep the skinny bitch cuz I like a fat ass and thighs
Bitch I'm Young Savage yo baby daddy know not to try
I just bought a pistol it got 30 rounds in it
Pull up at yo momma house and put some rounds in it
Wet a nigga block and watch them niggas drown in it
Hunnid round drum gun a nigga down with it
I'm on that Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
I'm on that Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
Slaughter Gang shit, Murder Gang shit
","False",9
"10","21 Savage, Metro Boomin","No Heart",19,43,"2017-03-18",77,"July 15, 2016","Memes, Trap, Atlanta, Rap","Cubeatz, Tim gomringer, Kevin gomringer, Southside, Metro boomin, 21 savage","No Heart 
Young Savage, why you trappin' so hard?
Why these niggas cappin' so hard?
Why you got a 12 car garage?
Why you pullin' all these rappers' cards?
'Cause these niggas pussy and I'm hard
I turn that fuckin' soft into some hard
I grew up in the streets without no heart
I'm prayin' to my Glock and my carbon
I sit back and read like Cat in the Hat
21 Savage, the cat with the MAC
21 Savage not Boyz N The Hood
But I pull up on you, shoot your ass in the back
Stuart Little, heard these niggas some rats
Pockets full of cheese, bitch I got racks
I'm a real street nigga, bitch
I am not one of these niggas bangin' on wax
Pussy niggas love sneak dissin'
'Til I pull up on 'em, slap 'em out with the fire
Wet your mama's house, wet your grandma's house
Keep shootin' until somebody die
So many shots the neighbor looked at the calendar
Thought it was Fourth of July
You was with your friends playin' Nintendo
I was playin' 'round with that fire
Seventh grade I got caught with a pistol, sent me to Panthersville
Eighth grade started playin' football
Then I was like fuck the field
Ninth grade I was knocking niggas out
Nigga like Holyfield
Fast forward nigga, 2016
And I'm screaming fuck a deal
Bad bitch with me, she so thick
I don't even need a pill
I listen to your raps, thought you was hard
You ain't even street for real
Niggas love sneak dissin' on Twitter
They don't want beef for real
And all these niggas play like they tough
'Til a nigga get killed
'Til a nigga get spilled, 'til your blood get spilled
I'ma ""at"" your favorite rapper, shoot him like I'm John Dill'
""I been with you since day one
Savage I ain't even hatin'""
So what's up with all that Instagram shit?
""Savage I was just playin'""
Y'all pussy niggas fakin'
Bitch I hang around them Haitians
Pull up on you, tie your kids up
Pistol whip you while your bitch naked
""Come on man, Savage you know I always play your mixtape""
Yeah, nigga fuck all that, ask your bitch how my dick tastes
Young Savage, why you trappin' so hard?
Why these niggas cappin' so hard?
Why you got a 12 car garage?
Why you pullin' all these rappers' cards?
'Cause these niggas pussy and I'm hard
I turn that fuckin' soft into some hard
I grew up in the streets without no heart
I'm prayin' to my Glock and my carbon
So much dope that it broke the scale
They say crack kills, nigga my crack sells
My brother in the kitchen and he wrappin' a bale
Louis V my bag and Louis V on my belt
Chain swangin', diamonds blangin', hold up
Pistol swangin', gang bangin', hold up
Niggas actin' like groupies, they don't know us
Little do they know their bitches fuckin' on the tour bus
Young Savage, why you trappin' so hard?
Why these niggas cappin' so hard?
Why you got a 12 car garage?
Why you pullin' all these rappers' cards?
'Cause these niggas pussy and I'm hard
I turn that fuckin' soft into some hard
I grew up in the streets without no heart
I grew up in the streets without no heart
So much dope that it broke the scale
They say crack kills, nigga my crack sells
My brother in the kitchen and he wrappin' a bale
Louis V my bag and Louis V on my belt
","False",10
