Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
Drake,In My Feelings,1,1,5,2018-08-11
"6ix9ine, Nicki Minaj, Murda Beatz",FEFE,3,3,2,2018-08-11
"Maroon 5, Cardi B",Girls Like You,4,3,10,2018-08-11
"DJ Khaled, Justin Bieber, Chance The Rapper, Quavo",No Brainer,5,,,2018-08-11
Post Malone,Better Now,6,5,14,2018-08-11
Juice WRLD,Lucid Dreams,7,3,12,2018-08-11
Ella Mai,Boo'd Up,8,5,18,2018-08-11
"Tyga, Offset",Taste,9,9,10,2018-08-11
Drake,Nice For What,10,1,17,2018-08-11
"Post Malone, Ty Dolla $ign",Psycho,11,1,23,2018-08-11
Ariana Grande,No Tears Left To Cry,12,3,15,2018-08-11
Taylor Swift,Delicate,13,12,21,2018-08-11
"Lil Baby, Drake",Yes Indeed,14,6,12,2018-08-11
"Khalid, Normani",Love Lies,15,15,24,2018-08-11
Drake,God's Plan,16,1,28,2018-08-11
"Zedd, Maren Morris, Grey",The Middle,17,5,27,2018-08-11
Ed Sheeran,Perfect,18,1,49,2018-08-11
"Bebe Rexha, Florida Georgia Line",Meant To Be,19,2,41,2018-08-11
"Marshmello, Anne",Friends,20,11,25,2018-08-11
XXXTENTACION,Sad!,21,1,22,2018-08-11
Kenny Chesney,Get Along,22,22,17,2018-08-11
5 Seconds Of Summer,Youngblood,23,23,9,2018-08-11
Bazzi,Mine,24,11,28,2018-08-11
"YG, 2 Chainz, Big Sean, Nicki Minaj",Big Bank,25,25,9,2018-08-11
Selena Gomez,Back To You,26,22,12,2018-08-11
Ariana Grande,God Is A Woman,27,11,3,2018-08-11
Dan + Shay,Tequila,28,21,21,2018-08-11
Drake,Nonstop,29,2,5,2018-08-11
"Calvin Harris, Dua Lipa",One Kiss,30,26,17,2018-08-11
Shawn Mendes,In My Blood,31,11,20,2018-08-11
Brett Young,Mercy,32,32,13,2018-08-11
Lauv,I Like Me Better,33,29,25,2018-08-11
Florida Georgia Line,Simple,34,34,9,2018-08-11
The Carters,Apes**t,35,13,7,2018-08-11
Camila Cabello,Never Be The Same,36,6,33,2018-08-11
Imagine Dragons,Whatever It Takes,37,12,27,2018-08-11
XXXTENTACION,Moonlight,38,13,16,2018-08-11
"Jason Aldean, Miranda Lambert",Drowns The Whiskey,39,39,7,2018-08-11
"BlocBoy JB, Drake",Look Alive,40,5,25,2018-08-11
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna, Bad Bunny",Te Bote,41,36,15,2018-08-11
Imagine Dragons,Natural,42,37,2,2018-08-11
Cardi B,Be Careful,43,11,18,2018-08-11
"Benny Blanco, Halsey, Khalid",Eastside,44,44,3,2018-08-11
Drake,I'm Upset,45,7,10,2018-08-11
Thomas Rhett,Life Changes,46,46,6,2018-08-11
Demi Lovato,Sober,47,47,3,2018-08-11
Foster The People,Sit Next To Me,48,42,20,2018-08-11
Luke Combs,One Number Away,49,34,20,2018-08-11
Luke Bryan,"Sunrise, Sunburn, Sunset",50,50,5,2018-08-11
"Keith Urban, Julia Michaels",Coming Home,51,50,6,2018-08-11
Childish Gambino,This Is America,52,1,13,2018-08-11
Bebe Rexha,I'm A Mess,53,53,3,2018-08-11
Queen Naija,Medicine,54,45,9,2018-08-11
"Chris Lane, Tori Kelly",Take Back Home Girl,55,55,9,2018-08-11
XXXTENTACION,Changes,56,18,16,2018-08-11
Juice WRLD,All Girls Are The Same,57,41,12,2018-08-11
"Clean Bandit, Demi Lovato",Solo,58,58,5,2018-08-11
Ciara,Level Up,59,59,2,2018-08-11
Old Dominion,Hotel Key,60,60,5,2018-08-11
"Tiesto, Dzeko, Preme, Post Malone",Jackie Chan,61,60,4,2018-08-11
Jake Owen,I Was Jack,62,43,10,2018-08-11
"Nicki Minaj, Ariana Grande",Bed,63,43,7,2018-08-11
Drake,Mob Ties,64,13,5,2018-08-11
Backstreet Boys,Don't Go Breaking My Heart,65,63,6,2018-08-11
"Drake, Michael Jackson",Don't Matter To Me,66,9,5,2018-08-11
Morgan Evans,Kiss Somebody,67,67,5,2018-08-11
Weezer,Africa,68,68,3,2018-08-11
lovelytheband,Broken,69,69,3,2018-08-11
Becky G + Natti Natasha,Sin Pijama,70,70,8,2018-08-11
Alessia Cara,Growing Pains,71,65,5,2018-08-11
Dylan Scott,Hooked,72,72,3,2018-08-11
"Morgan Wallen, Florida Georgia Line",Up Down,73,49,19,2018-08-11
"Kygo, Miguel",Remind Me To Forget,74,74,3,2018-08-11
"Juice WRLD, Lil Uzi Vert",Wasted,75,67,3,2018-08-11
"TK Kravitz, Jacqueez",Ocean,76,76,3,2018-08-11
G,1942,77,77,3,2018-08-11
Lauren Daigle,You Say,78,53,3,2018-08-11
Childish Gambino,Summertime Magic,79,44,3,2018-08-11
"Logic, Ryan Tedder",One Day,80,,,2018-08-11
Carrie Underwood,Cry Pretty,81,48,8,2018-08-11
"Daniel Caesar, H.E.R.",Best Part,82,81,2,2018-08-11
"Lil Dicky, Chris Brown",Freaky Friday,83,8,20,2018-08-11
"A$AP Rocky, Skepta",Praise The Lord,84,45,8,2018-08-11
Cole Swindell,Break Up In The End,85,85,4,2018-08-11
Dennis Lloyd,Nevermind,86,86,2,2018-08-11
"The Chainsmokers, Emily Warren",Side Effects,87,,,2018-08-11
"Khalid, Ty Dolla $ign, 6LACK",OTW,88,57,14,2018-08-11
"Post Malone, Nicki Minaj",Ball For Me,89,16,14,2018-08-11
NF,Lie,90,90,2,2018-08-11
Migos,Narcos,91,36,12,2018-08-11
Yella Beezy,That's On Me,92,,,2018-08-11
Eric Church,Desperate Man,93,71,3,2018-08-11
Kane Brown,Lose It,94,84,3,2018-08-11
The Weeknd,Call Out My Name,95,4,18,2018-08-11
Kanye West,All Mine,96,11,9,2018-08-11
"Martin Garrix, Khalid",Ocean,97,78,5,2018-08-11
Queen Naija,Karma,98,63,2,2018-08-11
"YG, A$AP Rocky",Handgun,99,,,2018-08-11
Mitchell Tenpenny,Drunk Me,100,,,2018-08-11
Drake,In My Feelings,1,1,4,2018-08-04
"Maroon 5, Cardi B",Girls Like You,3,3,9,2018-08-04
